z,name,symbol,group,period,valenceoftheelements,numofvalenceelectrons,thermalconductivity,entalpyofatomization,fusion,vaporization,mass,density,volume,atomic_radii,van_der_waals_radii,covalent_radii,melt,boil,specific_heat,electronegativity,first_ionization_energy,electron_affinity,s_elec,p_elec,d_elec,f_elec
100,Fermium,Fm,0,7,3,,,,,,257,,,,,,,,,1.299999952,6.5,,14,30,30,26
101,Mendelevium,Md,0,7,3,,,,,,258,,,,,,,,,1.299999952,6.579999924,,14,30,30,27
102,Nobelium,No,0,7,3,,,,,,259,,,,,,,,,1.299999952,6.650000095,,14,30,30,28
103,Lawrencium,Lr,3,7,3,,,,,,262,,,,,,,,,1.299999952,4.900000095,,14,31,30,28
104,Rutherfordium,Rf,4,7,4,,,,,,261,18.10000038,,,,,,,,,,,14,30,32,27
105,Dubnium,Db,5,7,5,,,,,,262,39,,,,,,,,,,,14,30,33,28
106,Seaborgium,Sg,6,7,6,,,,,,266,35,,,,,,,,,,,14,30,34,27
107,Bohrium,Bh,7,7,7,,,,,,264,37,,,,,,,,,,,14,30,35,28
108,Hassium,Hs,8,7,,,,,,,267,41,,,,,,,,,,,14,30,36,28
109,Meitnerium,Mt,9,7,,,,,,,268,35,,,,,,,,,,,14,30,37,28
110,Darmstadtium,Ds,10,7,,,,,,,271,,,,,,,,,,,,14,30,38,28
111,Roentgenium,Rg,11,7,,,,,,,272,,,,,,,,,,,,14,30,39,28
112,Copernicium,Cn,12,7,,,,,,,285,,,,,,,,,,,,14,30,40,28
